[2026-08-06T08:14:07.330Z] GET /api/admin/doctor/DOC1004 | Status: 200 | IP: 127.0.0.1 | Time: 120ms | Node: MediConsult-Institutional
[2026-08-06T08:14:07.641Z] GET /api/admin/doctor/DOC1004 | Status: 304 | IP: 127.0.0.1 | Time: 60ms | Node: MediConsult-Institutional
[2026-08-06T08:14:21.345Z] POST /api/admin/doctor/DOC1004/verify | Status: 200 | IP: 127.0.0.1 | Time: 1495ms | Node: MediConsult-Institutional
[2026-08-06T08:14:21.614Z] GET /api/admin/doctor/DOC1004 | Status: 200 | IP: 127.0.0.1 | Time: 44ms | Node: MediConsult-Institutional
[2026-08-06T08:14:41.505Z] POST /api/admin/doctor/DOC1004/verify | Status: 200 | IP: 127.0.0.1 | Time: 1369ms | Node: MediConsult-Institutional
[2026-08-06T08:14:41.812Z] GET /api/admin/doctor/DOC1004 | Status: 200 | IP: 127.0.0.1 | Time: 80ms | Node: MediConsult-Institutional
[2026-08-06T08:15:11.004Z] GET /api/admin/doctors | Status: 304 | IP: 127.0.0.1 | Time: 22ms | Node: MediConsult-Institutional
[2026-08-06T08:15:11.231Z] GET /api/admin/doctors | Status: 304 | IP: 127.0.0.1 | Time: 22ms | Node: MediConsult-Institutional
[2026-08-06T08:15:14.042Z] GET /api/admin/patients | Status: 200 | IP: 127.0.0.1 | Time: 27ms | Node: MediConsult-Institutional
[2026-08-06T08:15:14.292Z] GET /api/admin/patients | Status: 304 | IP: 127.0.0.1 | Time: 14ms | Node: MediConsult-Institutional
[2026-08-06T08:15:20.621Z] GET /api/admin/patients | Status: 304 | IP: 127.0.0.1 | Time: 32ms | Node: MediConsult-Institutional
[2026-08-06T08:15:20.869Z] GET /api/admin/patients | Status: 304 | IP: 127.0.0.1 | Time: 17ms | Node: MediConsult-Institutional
[2026-08-06T08:15:49.695Z] GET /api/admin/dashboard-summary | Status: 304 | IP: 127.0.0.1 | Time: 91ms | Node: MediConsult-Institutional
[2026-08-06T08:15:50.055Z] GET /api/admin/dashboard-summary | Status: 304 | IP: 127.0.0.1 | Time: 107ms | Node: MediConsult-Institutional
[2026-08-06T08:18:01.266Z] POST /api/auth/register/patient-otp | Status: 200 | IP: 127.0.0.1 | Time: 5064ms | Node: MediConsult-Institutional
[2026-08-06T08:22:37.689Z] POST /api/auth/login | Status: 403 | IP: 127.0.0.1 | Time: 391ms | Node: MediConsult-Institutional
[2026-08-06T08:23:50.637Z] POST /api/auth/login | Status: 401 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-06T13:42:32.450Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 645ms | Node: MediConsult-Institutional
[2026-08-08T03:31:09.685Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 388ms | Node: MediConsult-Institutional
[2026-08-08T04:11:17.909Z] GET /api/ai/medicine-suggestions?query=ce | Status: 500 | IP: 127.0.0.1 | Time: 139ms | Node: MediConsult-Institutional
[2026-08-08T04:12:38.569Z] GET /api/ai/medicine-suggestions?query=pa | Status: 500 | IP: 127.0.0.1 | Time: 17ms | Node: MediConsult-Institutional
[2026-08-08T04:12:39.381Z] GET /api/ai/medicine-suggestions?query=para | Status: 500 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T04:40:53.093Z] GET /api/auth/me | Status: 200 | IP: 127.0.0.1 | Time: 15ms | Node: MediConsult-Institutional
[2026-08-08T04:40:53.121Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 18ms | Node: MediConsult-Institutional
[2026-08-08T04:41:09.872Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 16ms | Node: MediConsult-Institutional
[2026-08-08T04:41:09.886Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 9ms | Node: MediConsult-Institutional
[2026-08-08T04:42:29.496Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T04:42:29.515Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T04:45:27.699Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T04:45:27.752Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 9ms | Node: MediConsult-Institutional
[2026-08-08T04:48:42.536Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T04:48:42.553Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T04:49:10.353Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 15ms | Node: MediConsult-Institutional
[2026-08-08T04:49:10.372Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T04:51:30.314Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-08T04:51:30.383Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T04:53:01.751Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-08T04:53:01.769Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T04:55:57.471Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 7ms | Node: MediConsult-Institutional
[2026-08-08T04:55:57.480Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-08T04:56:31.801Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 7ms | Node: MediConsult-Institutional
[2026-08-08T04:56:31.815Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 7ms | Node: MediConsult-Institutional
[2026-08-08T04:56:57.796Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 15ms | Node: MediConsult-Institutional
[2026-08-08T04:56:57.822Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T04:57:19.603Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 13ms | Node: MediConsult-Institutional
[2026-08-08T04:57:19.617Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 7ms | Node: MediConsult-Institutional
[2026-08-08T04:58:24.655Z] GET /api/clinical-diagnosis/history/patient/PAT1001 | Status: 429 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-08T04:58:24.665Z] GET /api/appointments/patient-summary | Status: 429 | IP: 127.0.0.1 | Time: 1ms | Node: MediConsult-Institutional
[2026-08-08T05:00:11.330Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 122ms | Node: MediConsult-Institutional
[2026-08-08T05:00:11.360Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 23ms | Node: MediConsult-Institutional
[2026-08-08T05:01:51.399Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 18ms | Node: MediConsult-Institutional
[2026-08-08T05:01:51.420Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 14ms | Node: MediConsult-Institutional
[2026-08-08T05:01:54.360Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 19ms | Node: MediConsult-Institutional
[2026-08-08T05:01:54.386Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 14ms | Node: MediConsult-Institutional
[2026-08-08T05:02:06.802Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 20ms | Node: MediConsult-Institutional
